<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;05.09.2018;10:01;106550;106550;106040;106270;17
SPFB.RTS-12.18;1;05.09.2018;10:02;106270;106270;106170;106210;3
SPFB.RTS-12.18;1;05.09.2018;10:03;106300;106300;106250;106250;5
SPFB.RTS-12.18;1;05.09.2018;10:04;106250;106250;106250;106250;1
SPFB.RTS-12.18;1;05.09.2018;10:05;106160;106160;106110;106110;3
SPFB.RTS-12.18;1;05.09.2018;10:07;106230;106240;106200;106200;6
SPFB.RTS-12.18;1;05.09.2018;10:08;106260;106260;106210;106210;7
SPFB.RTS-12.18;1;05.09.2018;10:09;106300;106300;106280;106280;5
SPFB.RTS-12.18;1;05.09.2018;10:11;106200;106210;106200;106210;17
SPFB.RTS-12.18;1;05.09.2018;10:12;106250;106250;106170;106180;32
SPFB.RTS-12.18;1;05.09.2018;10:13;106250;106250;106180;106180;38
SPFB.RTS-12.18;1;05.09.2018;10:14;106200;106200;106200;106200;6
SPFB.RTS-12.18;1;05.09.2018;10:15;106190;106190;106170;106170;4
SPFB.RTS-12.18;1;05.09.2018;10:16;106160;106160;106160;106160;1
SPFB.RTS-12.18;1;05.09.2018;10:17;106190;106260;106190;106260;2
SPFB.RTS-12.18;1;05.09.2018;10:18;106220;106240;106220;106240;2
SPFB.RTS-12.18;1;05.09.2018;10:20;106280;106350;106280;106350;3
SPFB.RTS-12.18;1;05.09.2018;10:21;106400;106400;106400;106400;1
SPFB.RTS-12.18;1;05.09.2018;10:23;106250;106260;106250;106260;2
SPFB.RTS-12.18;1;05.09.2018;10:28;106250;106250;106240;106240;2
SPFB.RTS-12.18;1;05.09.2018;10:30;106210;106210;106210;106210;1
SPFB.RTS-12.18;1;05.09.2018;10:32;106300;106300;106300;106300;1
SPFB.RTS-12.18;1;05.09.2018;10:40;106370;106370;106370;106370;2
SPFB.RTS-12.18;1;05.09.2018;10:41;106400;106400;106400;106400;2
SPFB.RTS-12.18;1;05.09.2018;10:42;106350;106350;106350;106350;1
SPFB.RTS-12.18;1;05.09.2018;10:43;106380;106380;106380;106380;1
SPFB.RTS-12.18;1;05.09.2018;10:46;106430;106470;106430;106470;4
SPFB.RTS-12.18;1;05.09.2018;10:49;106410;106410;106410;106410;1
SPFB.RTS-12.18;1;05.09.2018;10:50;106380;106380;106380;106380;1
SPFB.RTS-12.18;1;05.09.2018;10:52;106380;106380;106380;106380;2
SPFB.RTS-12.18;1;05.09.2018;10:53;106330;106330;106330;106330;13
SPFB.RTS-12.18;1;05.09.2018;10:54;106360;106360;106350;106350;14
SPFB.RTS-12.18;1;05.09.2018;10:59;106450;106450;106450;106450;1
SPFB.RTS-12.18;1;05.09.2018;11:02;106550;106550;106550;106550;2
SPFB.RTS-12.18;1;05.09.2018;11:05;106450;106450;106450;106450;1
SPFB.RTS-12.18;1;05.09.2018;11:10;106600;106600;106600;106600;1
SPFB.RTS-12.18;1;05.09.2018;11:11;106590;106590;106590;106590;2
SPFB.RTS-12.18;1;05.09.2018;11:13;106530;106530;106530;106530;1
SPFB.RTS-12.18;1;05.09.2018;11:16;106420;106420;106400;106400;5
SPFB.RTS-12.18;1;05.09.2018;11:17;106350;106350;106350;106350;1
SPFB.RTS-12.18;1;05.09.2018;11:20;106330;106330;106330;106330;1
SPFB.RTS-12.18;1;05.09.2018;11:22;106320;106350;106280;106350;30
SPFB.RTS-12.18;1;05.09.2018;11:24;106250;106250;106250;106250;2
SPFB.RTS-12.18;1;05.09.2018;11:25;106270;106270;106270;106270;2
SPFB.RTS-12.18;1;05.09.2018;11:26;106240;106240;106230;106230;2
SPFB.RTS-12.18;1;05.09.2018;11:33;106280;106280;106280;106280;1
SPFB.RTS-12.18;1;05.09.2018;11:36;106400;106400;106400;106400;1
SPFB.RTS-12.18;1;05.09.2018;11:39;106450;106450;106390;106390;4
SPFB.RTS-12.18;1;05.09.2018;11:41;106500;106500;106500;106500;10
SPFB.RTS-12.18;1;05.09.2018;11:44;106400;106400;106400;106400;10
SPFB.RTS-12.18;1;05.09.2018;11:45;106390;106390;106390;106390;100
SPFB.RTS-12.18;1;05.09.2018;11:46;106430;106430;106430;106430;15
SPFB.RTS-12.18;1;05.09.2018;11:47;106430;106430;106430;106430;2
SPFB.RTS-12.18;1;05.09.2018;11:50;106490;106490;106490;106490;3
SPFB.RTS-12.18;1;05.09.2018;11:55;106380;106380;106380;106380;4
SPFB.RTS-12.18;1;05.09.2018;11:57;106340;106340;106340;106340;3
SPFB.RTS-12.18;1;05.09.2018;12:02;106350;106350;106350;106350;3
SPFB.RTS-12.18;1;05.09.2018;12:04;106400;106400;106400;106400;1
SPFB.RTS-12.18;1;05.09.2018;12:05;106480;106480;106480;106480;1
SPFB.RTS-12.18;1;05.09.2018;12:06;106460;106500;106460;106500;7
SPFB.RTS-12.18;1;05.09.2018;12:07;106550;106550;106550;106550;1
SPFB.RTS-12.18;1;05.09.2018;12:09;106560;106560;106560;106560;6
SPFB.RTS-12.18;1;05.09.2018;12:10;106590;106590;106590;106590;1
SPFB.RTS-12.18;1;05.09.2018;12:11;106630;106700;106630;106700;11
SPFB.RTS-12.18;1;05.09.2018;12:12;106650;106650;106640;106640;3
SPFB.RTS-12.18;1;05.09.2018;12:13;106640;106640;106640;106640;1
SPFB.RTS-12.18;1;05.09.2018;12:17;106700;106700;106700;106700;7
SPFB.RTS-12.18;1;05.09.2018;12:18;106700;106700;106700;106700;6
SPFB.RTS-12.18;1;05.09.2018;12:19;106700;106800;106700;106780;26
SPFB.RTS-12.18;1;05.09.2018;12:20;106750;106790;106750;106790;42
SPFB.RTS-12.18;1;05.09.2018;12:21;106810;106820;106810;106820;2
SPFB.RTS-12.18;1;05.09.2018;12:22;106830;106850;106830;106850;5
SPFB.RTS-12.18;1;05.09.2018;12:23;106850;106860;106850;106860;3
SPFB.RTS-12.18;1;05.09.2018;12:24;106860;106890;106860;106870;9
SPFB.RTS-12.18;1;05.09.2018;12:26;106860;106870;106830;106830;29
SPFB.RTS-12.18;1;05.09.2018;12:27;106850;106870;106850;106870;4
SPFB.RTS-12.18;1;05.09.2018;12:28;106880;106880;106830;106830;3
SPFB.RTS-12.18;1;05.09.2018;12:31;106860;106860;106850;106850;3
SPFB.RTS-12.18;1;05.09.2018;12:34;106810;106810;106810;106810;1
SPFB.RTS-12.18;1;05.09.2018;12:35;106780;106780;106780;106780;2
SPFB.RTS-12.18;1;05.09.2018;12:36;106770;106770;106770;106770;2
SPFB.RTS-12.18;1;05.09.2018;12:39;106700;106720;106700;106720;3
SPFB.RTS-12.18;1;05.09.2018;12:41;106640;106640;106600;106600;3
SPFB.RTS-12.18;1;05.09.2018;12:42;106560;106560;106550;106550;2
SPFB.RTS-12.18;1;05.09.2018;12:43;106570;106570;106570;106570;2
SPFB.RTS-12.18;1;05.09.2018;12:44;106560;106560;106560;106560;5
SPFB.RTS-12.18;1;05.09.2018;12:45;106600;106600;106590;106600;50
SPFB.RTS-12.18;1;05.09.2018;12:48;106600;106600;106600;106600;1
SPFB.RTS-12.18;1;05.09.2018;12:50;106570;106570;106570;106570;1
SPFB.RTS-12.18;1;05.09.2018;12:52;106540;106540;106520;106520;51
SPFB.RTS-12.18;1;05.09.2018;12:57;106550;106550;106550;106550;1
SPFB.RTS-12.18;1;05.09.2018;12:58;106570;106570;106570;106570;1
SPFB.RTS-12.18;1;05.09.2018;12:59;106550;106550;106490;106490;4
SPFB.RTS-12.18;1;05.09.2018;13:02;106600;106620;106600;106620;4
SPFB.RTS-12.18;1;05.09.2018;13:04;106590;106590;106590;106590;1
SPFB.RTS-12.18;1;05.09.2018;13:05;106640;106640;106640;106640;50
SPFB.RTS-12.18;1;05.09.2018;13:07;106570;106570;106570;106570;1
SPFB.RTS-12.18;1;05.09.2018;13:08;106570;106570;106570;106570;19
SPFB.RTS-12.18;1;05.09.2018;13:13;106500;106500;106400;106400;3
SPFB.RTS-12.18;1;05.09.2018;13:14;106340;106340;106300;106300;12
SPFB.RTS-12.18;1;05.09.2018;13:15;106290;106320;106260;106320;52
SPFB.RTS-12.18;1;05.09.2018;13:16;106310;106310;106310;106310;1
SPFB.RTS-12.18;1;05.09.2018;13:17;106310;106380;106310;106380;2
SPFB.RTS-12.18;1;05.09.2018;13:22;106390;106390;106390;106390;1
SPFB.RTS-12.18;1;05.09.2018;13:23;106300;106300;106300;106300;1
SPFB.RTS-12.18;1;05.09.2018;13:35;106450;106450;106450;106450;1
SPFB.RTS-12.18;1;05.09.2018;13:37;106430;106430;106430;106430;1
SPFB.RTS-12.18;1;05.09.2018;13:39;106430;106430;106430;106430;8
SPFB.RTS-12.18;1;05.09.2018;13:40;106450;106450;106450;106450;1
SPFB.RTS-12.18;1;05.09.2018;13:43;106470;106470;106470;106470;50
SPFB.RTS-12.18;1;05.09.2018;13:49;106530;106530;106530;106530;5
SPFB.RTS-12.18;1;05.09.2018;13:50;106550;106550;106550;106550;1
SPFB.RTS-12.18;1;05.09.2018;13:53;106500;106500;106500;106500;2
SPFB.RTS-12.18;1;05.09.2018;13:55;106550;106550;106550;106550;12
SPFB.RTS-12.18;1;05.09.2018;13:56;106550;106550;106550;106550;18
SPFB.RTS-12.18;1;05.09.2018;14:06;106650;106760;106650;106760;5
SPFB.RTS-12.18;1;05.09.2018;14:07;106620;106620;106610;106610;10
SPFB.RTS-12.18;1;05.09.2018;14:18;106710;106710;106710;106710;3
SPFB.RTS-12.18;1;05.09.2018;14:20;106550;106550;106550;106550;1
SPFB.RTS-12.18;1;05.09.2018;14:28;106620;106620;106620;106620;2
SPFB.RTS-12.18;1;05.09.2018;14:29;106660;106660;106660;106660;1
SPFB.RTS-12.18;1;05.09.2018;14:31;106700;106700;106700;106700;1
SPFB.RTS-12.18;1;05.09.2018;14:34;106700;106700;106700;106700;1
SPFB.RTS-12.18;1;05.09.2018;14:36;106630;106630;106630;106630;1
SPFB.RTS-12.18;1;05.09.2018;14:45;106670;106670;106670;106670;10
SPFB.RTS-12.18;1;05.09.2018;14:47;106600;106680;106600;106620;59
SPFB.RTS-12.18;1;05.09.2018;14:53;106700;106730;106700;106730;6
SPFB.RTS-12.18;1;05.09.2018;14:59;106550;106550;106550;106550;1
SPFB.RTS-12.18;1;05.09.2018;15:02;106500;106500;106500;106500;4
SPFB.RTS-12.18;1;05.09.2018;15:03;106520;106520;106520;106520;1
SPFB.RTS-12.18;1;05.09.2018;15:05;106560;106570;106560;106570;50
SPFB.RTS-12.18;1;05.09.2018;15:30;106700;106700;106700;106700;1
SPFB.RTS-12.18;1;05.09.2018;15:41;106590;106590;106590;106590;1
SPFB.RTS-12.18;1;05.09.2018;15:45;106550;106550;106540;106540;3
SPFB.RTS-12.18;1;05.09.2018;15:52;106620;106620;106620;106620;1
SPFB.RTS-12.18;1;05.09.2018;15:58;106620;106620;106610;106610;4
SPFB.RTS-12.18;1;05.09.2018;16:04;106580;106580;106580;106580;1
